# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A4GALT	chr22|173 (-34009)
APOL4	chr22|147 (-24122)
APOL5	chr22|145 (+11082), chr22|146 (+261082)
APP	chr21|111 (-82029), chr21|109 (+417971)
APPL2	chr12|423 (+4860)
AQP8	chr16|101 (-103241)
AQP9	chr15|235 (+194606)
ARAP3	chr5|565 (-63213)
ARF4	chr3|231 (-41866)
ARF6	chr14|202 (+15191)
ARFGAP2	chr11|189 (+73632)
ARFGAP3	chr22|174 (-121593), chr22|173 (+128407)
ARFGEF1	chr8|275 (-369089), chr8|274 (-119089)
ARFGEF2	chr20|191 (+86574)
ARG1	chr6|527 (-269364), chr6|528 (-19364)
ARG2	chr14|273 (+38486)
ARHGAP10	chr4|595 (-28213), chr4|596 (+221787)
ARHGAP17	chr16|100 (+151651)
ARHGAP18	chr6|521 (-93631), chr6|520 (+156369)
ARHGAP22	chr10|200 (-62004), chr10|199 (+187996)
ARHGAP23	chr17|147 (+40339)
ARHGAP24	chr4|346 (-21266)
ARHGAP26	chr5|569 (-24948), chr5|570 (+225052), chr5|571 (+475052)
ARHGAP27	chr17|174 (+127996)
ARHGAP31	chr3|477 (+111781)
ARHGAP35	chr19|190 (-46932)
ARHGAP8	chr22|181 (+26619), chr22|182 (+276619)
ARHGAP9	chr12|232 (-1368)
ARHGEF11	chr1|628 (+140161)
ARHGEF12	chr11|482 (+167214)
ARHGEF26	chr3|616 (+36209)
ARHGEF28	chr5|292 (-46982)
ARHGEF3	chr3|229 (-11665), chr3|228 (+238335), chr3|227 (+488335)
ARHGEF33	chr2|157 (+7980)
ARHGEF4	chr2|527 (-49223)
ARHGEF6	chrX|544 (-10754)
ARHGEF7	chr13|448 (+107377)
ARHGEF9	chrX|254 (-400008), chrX|251 (+349992)
ARID2	chr12|183 (-498447), chr12|185 (+1553), chr12|186 (+251553)
ARID4B	chr1|942 (+116531)
ARID5A	chr2|389 (-77485)
ARID5B	chr10|255 (-36058), chr10|256 (+213942)
ARIH1	chr15|292 (+108334)
ARL14	chr3|642 (-19947)
ARL15	chr5|215 (-18598), chr5|213 (+481402)
ARL4D	chr17|166 (-101326)
ARL5A	chr2|612 (-189999), chr2|611 (+60001)
ARL6IP6	chr2|614 (-199427)
ARL8A	chr1|809 (-11132)
ARL9	chr4|230 (+3492)
ARMC1	chr8|266 (+171441)
ARMC10	chr7|411 (-90327)
ARMCX3	chrX|404 (-2786)
ARMCX6	chrX|404 (-2010)
ARNT	chr1|604 (-25757)
ARNT2	chr15|323 (-71692), chr15|324 (+178308)
ARPC1A	chr7|396 (-48532)
ARPC3	chr12|444 (+13211)
ARPC5L	chr9|511 (+592)
ARRDC2	chr19|73 (+6024)
ARRDC3	chr5|363 (+54175), chr5|362 (+304175), chr5|360 (+804175)
ARRDC4	chr15|397 (+621073)
ARSJ	chr4|460 (+25856)
ARTN	chr1|178 (-23991)
ARV1	chr1|925 (+10206)
ASAH2	chr10|210 (-366631)
ASAP1	chr8|525 (+289216)
ASB14	chr3|230 (-48291)
ASB5	chr4|709 (+65372)
ASB7	chr15|405 (-17738), chr15|406 (+232262)
ASCC3	chr6|406 (-45761)
ASF1A	chr6|477 (-90383)
ASH1L	chr1|622 (+157322)
ASPH	chr8|251 (+2117)
ASPM	chr1|789 (-9177)
ASTE1	chr3|523 (+120645)
ATAD2	chr8|498 (+33704)
ATF2	chr2|704 (+157933)
ATF3	chr1|851 (-157011)
ATF6	chr1|648 (+138917)
ATG10	chr5|325 (-142843), chr5|326 (+107157)
ATG14	chr14|224 (+3575)
ATG16L1	chr2|937 (-35216)
ATG16L2	chr11|291 (+99648)
ATG4A	chrX|430 (+40103)
ATG5	chr6|428 (-101335), chr6|427 (+148665)
ATIC	chr2|865 (-51539)
ATL1	chr14|205 (+98258)
ATL2	chr2|154 (+229403)
ATM	chr11|433 (+31442)
ATOH7	chr10|280 (+116870)
ATP10B	chr5|640 (+404218)
ATP11A	chr13|454 (+30358)
ATP1A4	chr1|641 (+3641)
ATP1B3	chr3|567 (+29545)
ATP2B4	chr1|815 (+29312)
ATP2C1	chr3|523 (+55551)
ATP2C2	chr16|338 (-27132)
ATP5G3	chr2|705 (-75666)
ATP5J	chr21|109 (-17657)
ATP5O	chr21|142 (-86717), chr21|141 (+163283)
ATP6AP1L	chr5|327 (+49720)
ATP6V0A1	chr17|163 (+14103)
ATP6V0A4	chr7|555 (-142060)
ATP6V0E2	chr7|599 (+54944)
ATP6V1C1	chr8|417 (+91710)
ATP6V1D	chr14|272 (-48035)
ATP6V1H	chr8|219 (+130821), chr8|218 (+380821)
ATP8B1	chr18|223 (-154674), chr18|222 (+95326)
ATP9A	chr20|202 (+10172)
ATP9B	chr18|308 (+45607), chr18|309 (+295607)
ATPAF1	chr1|189 (+9125)
ATXN10	chr22|185 (+57322)
ATXN1L	chr16|288 (-4893)
AUH	chr9|376 (+249194), chr9|375 (+499194)
AVEN	chr15|138 (-43624)
AWAT2	chrX|276 (+394787)
AXIN2	chr17|255 (-67236)
B3GALNT1	chr3|644 (-51862)
B3GALNT2	chr1|943 (+42780)
B3GALT2	chr1|773 (+30783)
B3GALT5	chr21|164 (-53368)
B3GALTL	chr13|128 (+100928)
B3GNT2	chr2|250 (-48247), chr2|251 (+201753)
B3GNT3	chr19|72 (-30918)
B3GNT5	chr3|733 (+153969)
B3GNT6	chr11|307 (-120384)
B3GNT7	chr2|929 (-135253)
B3GNTL1	chr17|324 (+134685)
B4GALNT2	chr17|189 (-85328)
B4GALT5	chr20|194 (-44586)
B9D2	chr19|168 (-4923)
BAALC	chr8|417 (-27937)
BACE1	chr11|469 (+61971)
BACE2	chr21|170 (-164727), chr21|171 (+85273)
BACH1	chr21|123 (-46736)
BACH2	chr6|365 (-118540), chr6|364 (+131460), chr6|363 (+381460)
BAIAP2L1	chr7|393 (-94621)
BANF2	chr20|72 (+200684)
BANK1	chr4|410 (-336763)
BANP	chr16|353 (+121377), chr16|354 (+371377)
BARHL1	chr9|542 (-82571)
BARHL2	chr1|366 (-192207)
BARX1	chr9|386 (+342653)
BATF3	chr1|852 (-1674)
BAZ1A	chr14|142 (-30148)
BAZ1B	chr7|292 (+61601)
BAZ2B	chr2|642 (+98202)
BBS10	chr12|308 (-132779), chr12|307 (+117221)
BBS12	chr4|495 (-28856)
BBX	chr3|429 (-116822)
BCAN	chr1|627 (+13261)
BCAR1	chr16|302 (-75096)
BCAR3	chr1|377 (+187705)
BCAS1	chr20|210 (+312132)
BCAS4	chr20|198 (-36430)
BCKDHB	chr6|324 (+58637)
BCL11A	chr2|244 (-94368)
BCL11B	chr14|400 (-137436)
BCL2	chr18|244 (+112360)
BCL2L10	chr15|210 (+29971)
BCL2L11	chr2|448 (-3505), chr2|451 (+746495)
BCL2L13	chr22|73 (+3645)
BCL7C	chr16|124 (+31280)
BCLAF1	chr6|547 (-14012)
BDH1	chr3|790 (-92143)
BDP1	chr5|284 (+123559)
BEST2	chr19|52 (+12485)
BEST3	chr12|281 (-31805)
BFSP2	chr3|532 (-243838), chr3|533 (+6162)
BHLHA15	chr7|392 (+33435)
BHLHE23	chr20|247 (+13386)
BICD2	chr9|383 (-97907)
BID	chr22|74 (-118219), chr22|73 (+131781)
BIN1	chr2|512 (-10070)
BIRC3	chr11|409 (-63225)
BIRC6	chr2|131 (+42905)
BLM	chr15|365 (-135557), chr15|366 (+114443)
BLNK	chr10|392 (+156296)
BLOC1S6	chr15|184 (-4320)
BLVRA	chr7|176 (+76715)
BLZF1	chr1|678 (+37793)
BMF	chr15|162 (+26074)
BMP2K	chr4|319 (-72531)
BMP4	chr14|215 (+798528)
BMP7	chr20|224 (-33317), chr20|223 (+216683), chr20|222 (+466683)
BMPR1A	chr10|355 (+108594)
BMPR2	chr2|814 (+133342), chr2|815 (+383342)
BMS1	chr10|174 (+96752)
BOC	chr3|452 (-55328), chr3|453 (+194672)
BOLA3	chr2|298 (+120)
BPGM	chr7|538 (+43418)
BPI	chr20|148 (-57524)
BPIFB1	chr20|128 (+4060)
BPTF	chr17|264 (+53220)
BRAF	chr7|563 (-437)
BRAP	chr12|449 (-1211)
BRD1	chr22|201 (+93451), chr22|200 (+343451)
BRD7	chr16|202 (+27689)
BRMS1L	chr14|146 (+79477)
BRPF3	chr6|145 (-39520)
BRWD1	chr21|163 (+60744)
BRWD3	chrX|322 (-309814), chrX|321 (-59814)
BSPRY	chr9|465 (+13180)
BSX	chr11|492 (-22573)
BTBD9	chr6|155 (-17301)
BTG1	chr12|371 (-85328)
BUD13	chr11|467 (+18703)
BVES	chr6|423 (-39952)
BZRAP1	chr17|226 (+30444)
BZW1	chr2|807 (-52078)
C10orf11	chr10|312 (+332482)
C10orf129	chr10|388 (-78956)
C10orf35	chr10|286 (-15013)
C11orf30	chr11|305 (-32982), chr11|306 (+217018)
C11orf34	chr11|449 (+6582)
C11orf49	chr11|189 (+166672)
C11orf73	chr11|345 (+111736), chr11|346 (+361736)
C11orf82	chr11|331 (+12232)
C12orf23	chr12|430 (+25501)
C12orf49	chr12|469 (+50865)
C14orf1	chr14|305 (+2531)
C14orf159	chr14|367 (+44287)
C14orf166	chr14|210 (-81192)
C14orf2	chr14|418 (+12837)
C14orf37	chr14|235 (-6070)
C15orf27	chr15|306 (+22823)
C15orf60	chr15|296 (+139502)
C16orf46	chr16|325 (-14152)
C16orf62	chr16|79 (+58264)
C16orf70	chr16|269 (-18890)
C16orf80	chr16|233 (+38353)
C16orf87	chr16|188 (-9678)
C17orf67	chr17|220 (+36256)
C18orf25	chr18|176 (+121008)
C1D	chr2|274 (-84886)
C1GALT1C1	chrX|480 (-110996)
C1QL2	chr2|480 (+41464)
C1QTNF4	chr11|191 (-8790)
C1orf101	chr1|979 (+323)
C1orf185	chr1|207 (+57095)
C1orf61	chr1|626 (+24183)
C1orf95	chr1|907 (-111500), chr1|908 (+138500)
C21orf33	chr21|183 (+71514)
C21orf62	chr21|138 (-194973)
C21orf67	chr21|186 (-15241)
C22orf24	chr22|130 (-33665)
C2CD2	chr21|174 (-1002)
C2CD3	chr11|296 (+7063)
C2CD4A	chr15|248 (-484175), chr15|250 (+15825)
C2CD4B	chr15|251 (-167519), chr15|250 (+82481)
C2orf40	chr2|426 (-307111)
C2orf74	chr2|246 (-14628)
C2orf81	chr2|299 (+19843)
C2orf83	chr2|914 (+122887)
C2orf88	chr2|765 (+79412)
C3orf17	chr3|452 (-136315)
C3orf35	chr3|150 (-65652)
C3orf58	chr3|575 (-65639)
C3orf80	chr3|640 (-68422)
C4BPA	chr1|830 (+97394)
C4orf27	chr4|684 (-195897), chr4|683 (+54103)
C4orf29	chr4|516 (-11460)
C4orf32	chr4|453 (+58448)
C5orf30	chr5|411 (+30598), chr5|412 (+280598)
C5orf50	chr5|684 (-337875), chr5|686 (+162125)
C5orf63	chr5|506 (+34183)
C6orf163	chr6|353 (+70430)
C6orf203	chr6|429 (-224406), chr6|430 (+25594), chr6|431 (+275594)
C6orf57	chr6|285 (-151619)
C7	chr5|164 (-34353)
C7orf13	chr7|626 (+58347)
C7orf49	chr7|540 (-19554)
C7orf55-LUC7L2	chr7|557 (+80347)
C7orf73	chr7|542 (+27732)
C8orf37	chr8|389 (-843572), chr8|388 (-593572), chr8|386 (-93572)
C8orf44-SGK3	chr8|271 (+45150)
C9orf156	chr9|403 (+59851)
C9orf3	chr9|391 (+102935)
C9orf47	chr9|365 (-480842)
C9orf89	chr9|384 (+16501)
C9orf91	chr9|470 (+1515)
CA10	chr17|198 (+861086)
CA13	chr8|345 (-32755)
CA7	chr16|268 (-3281)
CA8	chr8|246 (-181030)
CAB39	chr2|927 (+47441)
CAB39L	chr13|200 (+100734)
CABP7	chr22|121 (+8928)
CABYR	chr18|87 (-93941), chr18|88 (+156059)
CACNA1A	chr19|55 (-7963), chr19|54 (+242037)
CACNA1D	chr3|215 (+95925), chr3|216 (+345925)
CACNA1E	chr1|725 (-327880), chr1|728 (+422120)
CACNA1I	chr22|161 (+158243)
CACNA2D3	chr3|219 (+468308), chr3|220 (+718308)
CACNB4	chr2|612 (+80592)
CACNG1	chr17|261 (+84295)
CACNG2	chr22|149 (-25398)
CACNG5	chr17|258 (-456234)
CACYBP	chr1|700 (-93868)
CALB2	chr16|286 (-17618)
CALCOCO1	chr12|217 (-3777)
CALD1	chr7|538 (-89400), chr7|539 (+160600)
CALM1	chr14|364 (+11674), chr14|365 (+261674), chr14|366 (+511674)
CALM2	chr2|190 (+28739)
CALM3	chr19|189 (+20508)
CALN1	chr7|289 (-247643)
CALU	chr7|513 (-254345), chr7|514 (-4345)
CAMK2D	chr4|460 (-192777), chr4|459 (+57223)
CAND1	chr12|271 (-38060), chr12|272 (+211940)
CAPG	chr2|343 (+12675)
CAPN14	chr2|126 (+65410)
CAPN2	chr1|896 (-25033)
CAPN8	chr1|896 (-21653)
CAPN9	chr1|924 (-8129)
CAPNS1	chr19|147 (-5476)
CAPZA1	chr1|453 (-36794)
CAPZA2	chr7|466 (-127526)
CARD6	chr5|164 (+33715)
CARF	chr2|816 (+97884)
CASC4	chr15|179 (+44072)
CASP6	chr4|443 (-372)
CASP8	chr2|809 (+2242)
CASQ1	chr1|641 (-35345)
CAST	chr5|384 (-122940), chr5|385 (+127060)
CATSPERB	chr14|369 (+73429)
CAV2	chr7|465 (-14443)
CBFA2T3	chr16|357 (-81389)
CBFB	chr16|269 (+61853)
CBL	chr11|477 (+48249)
CBLL1	chr7|430 (-9141)
CBR4	chr4|680 (+56408)
CBX4	chr17|312 (-61773)
CBX5	chr12|219 (+48885)
CBX7	chr22|159 (-76346)
CC2D1B	chr1|211 (+206864)
CCAR1	chr10|282 (-105970)
CCBE1	chr18|230 (-10389), chr18|229 (+239611)
CCDC108	chr2|880 (+31244)
CCDC109B	chr4|442 (-106360)
CCDC110	chr4|746 (+17912)
CCDC130	chr19|55 (-217573)
CCDC134	chr22|169 (-71682)
CCDC141	chr2|721 (-210215)
CCDC15	chr11|500 (+50984)
CCDC155	chr19|200 (-16474)
CCDC169-SOHLH2	chr13|148 (-3022)
CCDC180	chr9|400 (-125778), chr9|401 (+124222)
CCDC181	chr1|678 (+54906)
CCDC19	chr1|640 (-5048)
CCDC41	chr12|380 (-21273), chr12|379 (+228727)
CCDC53	chr12|410 (+80901)
CCDC6	chr10|248 (-208587), chr10|247 (+41413)
CCDC64	chr12|482 (-52672)
CCDC66	chr3|227 (+33800), chr3|228 (+283800)
CCDC8	chr19|188 (+41840)
CCDC80	chr3|450 (-14885)
CCDC88A	chr2|223 (+21748)
CCDC88C	chr14|368 (+9120)
CCDC92	chr12|498 (+82370)
CCL22	chr16|230 (-17683)
CCL28	chr5|174 (+37492)
CCM2	chr7|181 (+58376)
CCM2L	chr20|123 (+26748)
CCND1	chr11|277 (-330854)
CCNE2	chr8|384 (+33905)
CCNG1	chr5|652 (+10414)
CCNG2	chr4|313 (+46697)
CCNH	chr5|347 (+83835)
CCNI	chr4|312 (+122157)
CCNJ	chr10|392 (+71661)
CCNJL	chr5|639 (+114606)
CCNL1	chr3|629 (-246999), chr3|628 (+3001), chr3|627 (+253001)
CCNT1	chr12|197 (-14320)
CCNT2	chr2|543 (-51394)
CCNYL1	chr2|835 (+48526)
CCPG1	chr15|223 (+75456)
CCR4	chr3|132 (-118065), chr3|133 (+131935)
CCR8	chr3|158 (+3804)
CCRN4L	chr4|560 (-61942)
CCSER2	chr10|345 (+36582)
CCT2	chr12|280 (-104113)
CCT4	chr2|249 (-9062)
CCT6A	chr7|225 (+5678)
CD109	chr6|298 (-30826)
CD160	chr1|583 (+81860)
CD164	chr6|439 (+78646)
CD180	chr5|266 (+117626)
CD200R1	chr3|451 (+68968)
CD200R1L	chr3|451 (-60204), chr3|450 (+189796)
CD276	chr15|297 (+148447)
CD2AP	chr6|190 (-70524)
CD300E	chr17|291 (-5200)
CD300LF	chr17|291 (+84116)
CD302	chr2|643 (+29752)
CD34	chr1|834 (-290254), chr1|833 (-40254)
CD40	chr20|180 (+128090)
CD46	chr1|832 (-50401)
CD55	chr1|830 (-120045)
CD63	chr12|225 (-1510)
CD79A	chr19|170 (-6189)
CD82	chr11|178 (-212140), chr11|179 (+37860)
CD8B	chr2|349 (-35963)
CD93	chr20|93 (-58024)
CDADC1	chr13|200 (+52940)
CDC14A	chr1|404 (+56954)
CDC14B	chr9|398 (+7111)
CDC25C	chr5|551 (+42523)
CDC40	chr6|443 (+123657)
CDC42BPA	chr1|911 (-118826), chr1|909 (+381174)
CDC42EP3	chr2|152 (+24333)
CDC42EP4	chr17|287 (-316687), chr17|286 (-66687)
CDC42SE2	chr5|523 (+25208), chr5|524 (+275208)
CDC5L	chr6|178 (+19739)
CDC73	chr1|773 (+33854)
CDCA7	chr2|699 (+405412)
CDCA8	chr1|153 (-33089)
CDCP2	chr1|219 (-5558)
CDH20	chr18|238 (+374186)
CDH22	chr20|180 (+5333)
CDH26	chr20|235 (+91519)
CDH3	chr16|275 (-53738)
CDH4	chr20|243 (+797519)
CDH5	chr16|266 (-25532)
CDHR3	chr7|423 (+21316)
CDIPT	chr16|120 (+56)
CDK1	chr10|251 (+86789)
CDK13	chr7|160 (-114635)
CDK15	chr2|812 (+203699)
CDK17	chr12|388 (-80663), chr12|387 (+169337)
CDK19	chr6|445 (+11518), chr6|444 (+261518)
CDK20	chr9|363 (-35334)
CDK5RAP1	chr20|128 (+114366)
CDK5RAP2	chr9|494 (-32565), chr9|493 (+217435)
CDK6	chr7|371 (-161770), chr7|370 (+88230)
CDKL1	chr14|204 (-12384)
CDKL4	chr2|159 (-168328), chr2|158 (+81672)
CDKN3	chr14|220 (+11328)
CDO1	chr5|461 (+27650)
CDON	chr11|504 (+58186)
CDS1	chr4|343 (+120869), chr4|344 (+370869)
CDV3	chr3|533 (-167573), chr3|534 (+82427)
CEACAM21	chr19|169 (+42400)
CEACAM4	chr19|169 (+8441)
CEBPB	chr20|196 (+67625)
CEBPD	chr8|195 (+26647)
CEBPG	chr19|136 (+10765)
CELF3	chr1|607 (+64289)
CELF4	chr18|140 (+270999)
CELF6	chr15|291 (-12531)
CELSR1	chr22|188 (+58066)
CENPE	chr4|418 (-255435), chr4|417 (-5435)
CENPF	chr1|860 (+98463)
