# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|1	OR4F29 (-242639), OR4F5 (+55910)
chr5|79	CDH18 (+950981)
chr5|82	CDH18 (+200981)
chr5|88	CDH12 (+978730)
chr5|89	CDH12 (+728730)
chr5|90	CDH12 (+478730)
chr5|102	CDH10 (-729914)
chr5|103	CDH10 (-979914)
chr5|187	HCN1 (-928748)
chr5|188	NONE
chr5|189	NONE
chr5|190	NONE
chr5|191	NONE
chr5|192	NONE
chr5|193	NONE
chr5|194	NONE
chr5|195	NONE
chr5|196	EMB (+862200)
chr5|197	EMB (+612200)
chr5|277	SERF1B (-196095), GTF2H2C (+268932)
chr5|278	SERF1A (-821513), SMN2 (+29562)
chr5|279	SERF1A (-571513), SMN2 (+279562)
chr5|280	SERF1A (-321513), SMN2 (+529562)
chr5|281	SERF1A (-71513), SMN2 (+779562)
chr5|724	OR4F3 (+38362)
chr6|8	FOXC1 (+264320), GMDS (+370925)
chr6|9	GMDS (+120925), FOXC1 (+514320)
chr6|12	SERPINB1 (-32761), SERPINB9 (+28513)
chr6|14	TUBB2B (-147032), SLC22A23 (+81792)
chr6|15	SLC22A23 (-168208), PXDC1 (+127259)
chr6|16	ENSG00000145965 (-107908), FAM50B (+25381)
chr6|17	ECI2 (+10830), PRPF4B (+103441)
chr6|18	CDYL (-401668), ECI2 (-239170)
chr6|19	ECI2 (-489170), CDYL (-151668)
chr6|20	CDYL (+98332), RPP40 (+129280)
chr6|35	SLC35B3 (-189285)
chr6|36	SLC35B3 (-439285)
chr6|37	SLC35B3 (-689285), OFCC1 (+814551)
chr6|38	SLC35B3 (-939285), OFCC1 (+564551)
chr6|39	OFCC1 (+314551)
chr6|41	OFCC1 (-185449), TFAP2A (+290469)
chr6|237	NONE
chr6|238	NONE
chr6|239	NONE
chr6|240	NONE
chr6|241	NONE
chr6|243	NONE
chr6|244	NONE
chr6|245	NONE
chr6|246	MTRNR2L9 (-909007)
chr6|247	MTRNR2L9 (-659007)
chr6|248	MTRNR2L9 (-409007)
chr6|249	MTRNR2L9 (-159007)
chr6|251	MTRNR2L9 (+340993), KHDRBS2 (+371131)
chr6|253	FKBP1C (-796350), KHDRBS2 (-128869)
chr6|254	FKBP1C (-546350), KHDRBS2 (-378869)
chr6|261	PHF3 (+779260)
chr6|265	EYS (+292117)
chr6|266	EYS (+42117)
chr6|277	BAI3 (-220258)
chr6|315	IRAK1BP1 (-952188), ENSG00000269964 (+224626)
chr7|5	GPER (-1442)
chr7|6	UNCX (+102458), MICALL2 (+124137)
chr7|7	ELFN1 (-102754), TMEM184A (-28935)
chr7|8	ELFN1 (+147246), MAD1L1 (+397877)
chr7|9	MAD1L1 (+147877), ELFN1 (+397246)
chr7|10	SNX8 (-20902), EIF3B (-19500)
chr7|12	GNA12 (+8957), AMZ1 (+155845)
chr7|13	SDK1 (-216079), CARD11 (-41422)
chr7|14	SDK1 (+33921)
chr7|15	SDK1 (+283921)
chr7|16	FOXK1 (-846939), SDK1 (+533921)
chr7|18	FOXK1 (-346939)
chr7|35	NXPH1 (+151416)
chr7|36	NXPH1 (+401416)
chr7|37	NXPH1 (+651416)
chr7|38	NXPH1 (+901416)
chr7|39	NONE
chr7|40	NONE
chr7|41	NDUFA4 (+854882)
chr7|42	NDUFA4 (+604882)
chr7|47	THSD7A (+246823), PHF14 (+611502)
chr7|49	THSD7A (-253177), TMEM106B (-125925)
chr7|54	ARL4A (+648040), ETV1 (+654570)
chr7|55	ETV1 (+404570), ARL4A (+898040)
chr7|58	ETV1 (-345430), DGKB (+567985)
chr7|59	ETV1 (-595430), DGKB (+317985)
chr7|62	DGKB (-432015), AGMO (+226639)
chr7|64	MEOX2 (-148564), ISPD (+585946)
chr7|234	ZNF716 (+865118)
chr7|235	NONE
chr7|236	NONE
chr7|237	NONE
chr7|238	NONE
chr7|239	NONE
chr7|240	NONE
chr7|241	NONE
chr7|242	NONE
chr7|243	NONE
chr7|244	NONE
chr7|249	NONE
chr7|250	NONE
chr7|300	TRIM73 (-149902), GTF2IRD2B (+366614)
chr8|1	OR4F21 (-7958), ENSG00000250210 (+25562)
chr8|2	FBXO25 (+18046), TDRP (+120780)
chr8|3	DLGAP2 (-824531), TDRP (-129220)
chr8|4	DLGAP2 (-574531), TDRP (-379220)
chr8|5	TDRP (-629220), DLGAP2 (-324531)
chr8|6	TDRP (-879220), DLGAP2 (-74531)
chr8|7	CLN8 (-86927), DLGAP2 (+175469)
chr8|8	MYOM2 (-118154), ARHGEF10 (+102859)
chr8|9	MYOM2 (+131846)
chr8|10	MYOM2 (+381846)
chr8|11	MYOM2 (+631846)
chr8|12	MYOM2 (+881846)
chr8|13	NONE
chr8|14	NONE
chr8|15	NONE
chr8|16	CSMD1 (+976937)
chr8|17	CSMD1 (+726937)
chr8|18	CSMD1 (+476937)
chr8|19	CSMD1 (+226937)
chr8|20	CSMD1 (-23063)
chr8|21	CSMD1 (-273063)
chr8|22	MCPH1 (-889112), CSMD1 (-523063)
chr8|23	CSMD1 (-773063), MCPH1 (-639112)
chr8|24	MCPH1 (-389112)
chr8|25	MCPH1 (-139112)
chr8|28	DEFA3 (+822)
chr8|29	DEFA5 (-210745), ZNF705G (+118079)
chr8|30	DEFB107B (+21633), DEFB107A (+298237)
chr8|31	DEFB107A (+48237), DEFB107B (+271633)
chr8|32	ZNF705B (+73857), ENSG00000182319 (+369007)
chr8|34	CLDN23 (-184447), ENSG00000182319 (-130993)
chr8|54	DLC1 (-2606)
chr8|177	NONE
chr8|178	NONE
chr8|179	NONE
chr8|180	NONE
chr8|181	NONE
chr8|182	NONE
chr8|183	NONE
chr8|184	NONE
chr8|185	NONE
chr8|186	NONE
chr8|187	NONE
chr8|582	SCXA (-115548), ENSG00000204775 (-43848)
chr9|1	FOXD4 (-6584), CBWD1 (+54057)
chr9|2	KANK1 (-95290), DOCK8 (+160136)
chr9|3	DMRT1 (-216689), KANK1 (+154710)
chr9|4	DMRT3 (-101963), DMRT1 (+33311)
chr9|5	SMARCA2 (-896944), DMRT2 (+74647)
chr9|6	SMARCA2 (-646944), DMRT2 (+324647)
chr9|7	SMARCA2 (-396944), DMRT2 (+574647)
chr9|10	VLDLR (-246833), SMARCA2 (+353056)
chr9|158	SPATA31A2 (-509974), SPATA31A1 (+19302)
chr9|159	SPATA31A2 (-259974), SPATA31A1 (+269302)
chr9|160	SPATA31A2 (-9974), SPATA31A1 (+519302)
chr9|161	SPATA31A3 (-575290), SPATA31A2 (+240026)
chr9|162	SPATA31A3 (-325290), SPATA31A2 (+490026)
chr9|165	ZNF658 (-332903), SPATA31A4 (+202363)
chr9|166	SPATA31A5 (-125678), SPATA31A4 (-47637)
chr9|167	SPATA31A5 (+124322)
chr9|169	CBWD7 (-562352), SPATA31A5 (+624322)
chr9|170	CBWD7 (-312352), SPATA31A5 (+874322)
chr9|171	CBWD7 (-62352)
chr9|172	FOXD4L2 (+157767), SPATA31A6 (+755729)
chr9|173	FOXD4L2 (+407767), SPATA31A6 (+505729)
chr9|181	NONE
chr9|183	NONE
chr9|184	NONE
chr9|185	NONE
chr9|186	NONE
chr9|187	NONE
chr9|188	NONE
chr9|190	NONE
chr9|191	NONE
chr9|192	NONE
chr9|193	NONE
chr9|194	NONE
chr9|195	NONE
chr9|196	NONE
chr9|197	NONE
chr9|198	NONE
chr9|199	NONE
chr9|200	NONE
chr9|201	NONE
chr9|202	NONE
chr9|203	NONE
chr9|204	NONE
chr9|205	NONE
chr9|206	NONE
chr9|207	NONE
chr9|208	NONE
chr9|209	NONE
chr9|210	NONE
chr9|211	NONE
chr9|212	NONE
chr9|213	NONE
chr9|214	NONE
chr9|215	NONE
chr9|216	NONE
chr9|217	NONE
chr9|218	NONE
chr9|219	NONE
chr9|220	NONE
chr9|221	NONE
chr9|222	NONE
chr9|223	NONE
chr9|224	NONE
chr9|225	NONE
chr9|226	NONE
chr9|227	NONE
chr9|228	NONE
chr9|229	NONE
chr9|230	NONE
chr9|231	NONE
chr9|232	NONE
chr9|233	NONE
chr9|234	NONE
chr9|235	NONE
chr9|236	NONE
chr9|237	NONE
chr9|238	NONE
chr9|239	NONE
chr9|240	NONE
chr9|241	NONE
chr9|242	NONE
chr9|243	NONE
chr9|244	NONE
chr9|245	NONE
chr9|246	NONE
chr9|247	NONE
chr9|248	NONE
chr9|249	NONE
chr9|250	NONE
chr9|251	NONE
chr9|252	NONE
chr9|253	NONE
chr9|254	NONE
chr9|255	NONE
chr9|256	NONE
chr9|257	NONE
chr9|258	NONE
chr9|259	SPATA31A7 (+884609)
chr9|260	SPATA31A7 (+634609)
chr9|261	SPATA31A7 (+384609)
chr9|262	SPATA31A7 (+134609)
chr9|263	SPATA31A7 (-115391)
chr9|264	SPATA31A7 (-365391)
chr9|265	SPATA31A7 (-615391)
chr9|269	ANKRD20A1 (-801760)
chr9|271	ANKRD20A1 (-301760)
chr9|272	ANKRD20A1 (-51760)
chr9|279	CBWD6 (-362408), ENSG00000176134 (-25262)
chr9|281	FOXD4L5 (+53814), ENSG00000176134 (+474738)
chr9|282	FOXD4L5 (-196186), FOXD4L4 (+54730)
chr9|283	CBWD3 (-231396), CBWD5 (-134894)
chr10|1	ZMYND11 (-55423), TUBB8 (-29760)
chr10|2	ZMYND11 (+194577), DIP2C (+360605)
chr10|3	DIP2C (+110605), ZMYND11 (+444577)
chr10|4	DIP2C (-139395), LARP4B (+56701)
chr10|5	IDI1 (-29891), ADARB2 (+654669)
chr10|6	IDI1 (-279891), ADARB2 (+404669)
chr10|7	IDI1 (-529891), ADARB2 (+154669)
chr10|8	ADARB2 (-95331)
chr10|9	PFKP (-984711), ADARB2 (-345331)
chr10|10	PFKP (-734711), ADARB2 (-595331)
chr10|11	ADARB2 (-845331), PFKP (-484711)
chr10|12	PFKP (-234711)
chr10|14	PITRM1 (-159998), KLF6 (+452466)
chr10|158	ZNF37A (+991737)
chr10|159	NONE
chr10|160	NONE
chr10|161	NONE
chr10|162	NONE
chr10|163	NONE
chr10|164	NONE
chr10|165	NONE
chr10|166	NONE
chr10|167	NONE
chr10|168	NONE
chr10|169	NONE
chr10|187	PTPN20A (-4989)
chr10|193	AGAP9 (-90835), ASAH2C (-69983)
chr10|196	PTPN20B (-68062), FRMPD2 (+607912)
chr10|197	PTPN20B (-318062), FRMPD2 (+357912)
chr10|543	FRG2B (-77075)
chr11|1	SCGB1C1 (-68079)
chr11|2	PKP3 (-19216), B4GALNT4 (+5197)
chr11|3	IRF7 (-9273), CDHR5 (+1077)
chr11|4	CHID1 (+29922), TSPAN4 (+30555)
chr11|5	MUC5AC (-26579), MUC2 (+50126)
chr11|6	BRSK2 (-57381), TOLLIP (-44149)
chr11|7	KRTAP5-2 (-5477), KRTAP5-3 (+4692)
chr11|8	LSP1 (-11394), TNNI2 (+14290)
chr11|9	IGF2 (+37467), MRPL23 (+156493)
chr11|208	OR4C46 (+359719)
chr11|209	OR4C46 (+609719)
chr11|210	OR4C46 (+859719)
chr11|211	NONE
chr11|212	NONE
chr11|214	NONE
chr11|215	NONE
chr11|216	NONE
chr11|217	TRIM48 (-904657)
chr11|218	TRIM48 (-654657)
chr11|219	TRIM48 (-404657)
chr11|541	B3GAT1 (-741012)
chr12|2	SLC6A13 (-2999)
chr12|3	B4GALNT3 (+55471), NINJ2 (+147944)
chr12|5	ERC1 (+24597), FBXL14 (+578330)
chr12|7	FBXL14 (+78330), ERC1 (+524597)
chr12|8	LRTM2 (-54432), ADIPOR2 (+74808)
chr12|9	CACNA1C (-37728), DCP1B (-11324)
chr12|10	FKBP4 (-529118), CACNA1C (+212272)
chr12|12	FKBP4 (-29118), CACNA1C (+712272)
chr12|13	TSPAN9 (-61542), TEAD4 (+56421)
chr12|14	PRMT8 (-225401), TSPAN9 (+188458)
chr12|15	PRMT8 (+24599), EFCAB4B (+237267)
chr12|17	CCND2 (-257937), PARP11 (-142461)
chr12|19	FGF6 (-70221), RAD51AP1 (-23055)
chr12|21	KCNA5 (-28084), KCNA1 (+105930)
chr12|22	NTF3 (-166278), KCNA5 (+221916)
chr12|23	NTF3 (+83722), ANO2 (+430397)
chr12|24	ANO2 (+180397), NTF3 (+333722)
chr12|25	ANO2 (-69603), VWF (+108840)
chr12|32	DPPA3 (+10951), CLEC4C (+27068)
chr12|35	CLEC4D (-41135), CLEC6A (+16479)
chr12|45	TAS2R14 (-33139), TAS2R50 (+14510)
chr12|83	SLCO1C1 (-223398), PDE3A (+102822)
chr12|85	SLCO1B7 (-43629), ENSG00000257046 (+156393)
chr12|86	IAPP (-150817), SLCO1B1 (+90865)
chr12|141	ALG10 (+949785)
chr12|142	NONE
chr12|143	NONE
chr12|144	NONE
chr12|145	NONE
chr12|146	NONE
chr12|147	NONE
chr12|148	NONE
chr12|149	NONE
chr12|150	NONE
chr12|151	NONE
chr13|1	NONE
chr13|2	NONE
chr13|3	NONE
chr13|4	NONE
chr13|5	NONE
chr13|6	NONE
chr13|7	NONE
chr13|8	NONE
chr13|9	NONE
chr13|10	NONE
chr13|11	NONE
chr13|12	NONE
chr13|13	NONE
chr13|14	NONE
chr13|15	NONE
chr13|16	NONE
chr13|17	NONE
chr13|18	NONE
chr13|19	NONE
chr13|20	NONE
chr13|21	NONE
chr13|22	NONE
chr13|23	NONE
chr13|24	NONE
chr13|25	NONE
chr13|26	NONE
chr13|27	NONE
chr13|28	NONE
chr13|29	NONE
chr13|30	NONE
chr13|31	NONE
chr13|32	NONE
chr13|33	NONE
chr13|34	NONE
chr13|35	NONE
chr13|36	NONE
chr13|37	NONE
chr13|38	NONE
chr13|39	NONE
chr13|40	NONE
chr13|41	NONE
chr13|42	NONE
chr13|43	NONE
chr13|44	NONE
chr13|45	NONE
chr13|46	NONE
chr13|47	NONE
chr13|48	NONE
chr13|49	NONE
chr13|50	NONE
chr13|51	NONE
chr13|52	NONE
chr13|53	NONE
chr13|54	NONE
chr13|55	NONE
chr13|56	NONE
chr13|57	NONE
chr13|58	NONE
chr13|59	NONE
chr13|60	NONE
chr13|61	NONE
chr13|62	NONE
chr13|63	NONE
chr13|64	NONE
chr13|65	NONE
chr13|66	NONE
chr13|67	NONE
chr13|68	NONE
chr13|69	NONE
chr13|70	NONE
chr13|71	NONE
chr13|72	NONE
chr13|73	NONE
chr13|74	NONE
chr13|75	NONE
chr13|76	TUBA3C (+880991)
chr13|77	TUBA3C (+630991)
chr13|78	TUBA3C (+380991)
chr13|79	TUBA3C (+130991)
chr13|80	TUBA3C (-119009), TPTE2 (+202418)
chr13|81	MPHOSPH8 (-82820), TPTE2 (-47582)
chr13|82	PSPC1 (-17944), ZMYM5 (+62663)
chr14|1	NONE
chr14|2	NONE
chr14|3	NONE
chr14|4	NONE
chr14|5	NONE
chr14|6	NONE
chr14|7	NONE
chr14|8	NONE
chr14|9	NONE
chr14|10	NONE
chr14|11	NONE
chr14|12	NONE
chr14|13	NONE
chr14|14	NONE
chr14|15	NONE
chr14|16	NONE
chr14|17	NONE
chr14|18	NONE
chr14|19	NONE
chr14|20	NONE
chr14|21	NONE
chr14|22	NONE
chr14|23	NONE
chr14|24	NONE
chr14|25	NONE
chr14|26	NONE
chr14|27	NONE
chr14|28	NONE
chr14|29	NONE
chr14|30	NONE
chr14|31	NONE
chr14|32	NONE
chr14|33	NONE
chr14|34	NONE
chr14|35	NONE
chr14|36	NONE
chr14|37	NONE
chr14|38	NONE
chr14|39	NONE
chr14|40	NONE
chr14|41	NONE
chr14|42	NONE
chr14|43	NONE
chr14|44	NONE
chr14|45	NONE
chr14|46	NONE
chr14|47	NONE
chr14|48	NONE
chr14|49	NONE
chr14|50	NONE
chr14|51	NONE
chr14|52	NONE
chr14|53	NONE
chr14|54	NONE
chr14|55	NONE
chr14|56	NONE
chr14|57	NONE
chr14|58	NONE
chr14|59	NONE
chr14|60	NONE
chr14|61	NONE
chr14|62	NONE
chr14|63	NONE
chr14|64	NONE
chr14|65	NONE
chr14|66	NONE
chr14|67	NONE
chr14|68	NONE
chr14|69	NONE
chr14|70	NONE
chr14|71	NONE
chr14|72	NONE
chr14|73	NONE
chr14|74	NONE
chr14|75	OR11H12 (-752521)
chr14|76	OR11H12 (-502521)
chr14|77	OR11H12 (-252521)
chr14|78	OR11H12 (-2521)
chr14|79	OR11H12 (+247479), POTEM (+395271)
chr14|80	POTEM (+145271), OR11H12 (+497479)
chr14|81	POTEM (-104729), OR4Q3 (-90586)
chr14|82	OR4K5 (-13740), OR4K2 (+30610)
chr14|83	OR11G2 (-40494), OR4N5 (+13106)
chr15|1	NONE
chr15|2	NONE
chr15|3	NONE
chr15|4	NONE
chr15|5	NONE
chr15|6	NONE
chr15|7	NONE
chr15|8	NONE
chr15|9	NONE
chr15|10	NONE
chr15|11	NONE
chr15|12	NONE
chr15|13	NONE
chr15|14	NONE
chr15|15	NONE
chr15|16	NONE
chr15|17	NONE
chr15|18	NONE
chr15|19	NONE
chr15|20	NONE
chr15|21	NONE
chr15|22	NONE
chr15|23	NONE
chr15|24	NONE
chr15|25	NONE
chr15|26	NONE
chr15|27	NONE
chr15|28	NONE
chr15|29	NONE
chr15|30	NONE
