# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|50	TNFRSF1B (+147941), DHRS3 (+302736)
chr1|289	ZRANB2 (-578021), NEGR1 (+623416)
chr1|290	ZRANB2 (-828021), NEGR1 (+373416)
chr1|291	NEGR1 (+123416)
chr1|292	NEGR1 (-126584)
chr1|293	NEGR1 (-376584)
chr1|294	NEGR1 (-626584)
chr1|295	NEGR1 (-876584)
chr1|296	FPGT (-788925)
chr1|297	FPGT (-538925)
chr1|298	FPGT (-288925)
chr1|299	FPGT (-38925)
chr1|300	LRRC53 (+103297), TNNI3K (+211054)
chr1|302	LHX8 (-219118), CRYZ (-175909)
chr1|303	LHX8 (+30882), SLC44A5 (+451768)
chr1|304	SLC44A5 (+201768), LHX8 (+280882)
chr1|307	ST6GALNAC5 (-708125), ST6GALNAC3 (+84597)
chr1|308	ST6GALNAC5 (-458125), ST6GALNAC3 (+334597)
chr1|309	ST6GALNAC5 (-208125), ST6GALNAC3 (+584597)
chr1|310	ST6GALNAC5 (+41875), PIGK (+310110)
chr1|312	AK5 (+127265), ZZZ3 (+273342)
chr1|315	PTGFR (-331756), GIPC2 (+113415)
chr1|316	PTGFR (-81756), GIPC2 (+363415)
chr1|317	IFI44 (+9485), ELTD1 (+347402)
chr1|318	ELTD1 (+97402), IFI44 (+259485)
chr1|319	ELTD1 (-152598)
chr1|320	ELTD1 (-402598)
chr1|321	ELTD1 (-652598)
chr1|322	ELTD1 (-902598)
chr1|323	NONE
chr1|324	NONE
chr1|325	NONE
chr1|326	LPHN2 (-891081)
chr1|327	LPHN2 (-641081)
chr1|328	LPHN2 (-391081)
chr1|329	LPHN2 (-141081)
chr1|330	LPHN2 (+108919)
chr1|331	LPHN2 (+358919)
chr1|332	LPHN2 (+608919)
chr1|333	LPHN2 (+858919)
chr1|334	NONE
chr1|335	TTLL7 (+839814)
chr1|336	TTLL7 (+589814)
chr1|337	TTLL7 (+339814)
chr1|339	DNASE2B (-239214), PRKACB (+15047)
chr1|346	ZNHIT6 (-200900), COL24A1 (+247445)
chr1|347	COL24A1 (-2555)
chr1|353	LMO4 (+330850)
chr1|354	PKN2 (-774904), LMO4 (+580850)
chr1|355	PKN2 (-524904), LMO4 (+830850)
chr1|356	PKN2 (-274904)
chr1|363	ZNF326 (+164327), BARHL2 (+557793)
chr1|364	BARHL2 (+307793), ZNF326 (+414327)
chr1|367	ZNF644 (-137971), HFM1 (+245425)
chr1|384	RWDD3 (+175290)
chr1|385	RWDD3 (+425290)
chr1|386	PTBP2 (-812377), RWDD3 (+675290)
chr1|387	PTBP2 (-562377), RWDD3 (+925290)
chr1|390	PTBP2 (+187623)
chr1|391	PTBP2 (+437623), DPYD (+761578)
chr1|392	DPYD (+511578), PTBP2 (+687623)
chr1|393	DPYD (+261578), PTBP2 (+937623)
chr1|394	DPYD (+11578)
chr1|395	SNX7 (-502278), DPYD (-238422)
chr1|396	DPYD (-488422), SNX7 (-252278)
chr1|398	ENSG00000117598 (+95448), SNX7 (+247722)
chr1|399	ENSG00000117598 (-154552), ENSG00000117600 (-104508)
chr1|400	PALMD (-236498), ENSG00000117600 (+145492)
chr1|405	VCAM1 (-60315), GPR88 (+121308)
chr1|408	S1PR1 (+172557), OLFM3 (+587585)
chr1|409	OLFM3 (+337585), S1PR1 (+422557)
chr1|410	OLFM3 (+87585), S1PR1 (+672557)
chr1|411	OLFM3 (-162415), COL11A1 (+949046)
chr1|412	OLFM3 (-412415), COL11A1 (+699046)
chr1|413	OLFM3 (-662415), COL11A1 (+449046)
chr1|414	OLFM3 (-912415), COL11A1 (+199046)
chr1|415	RNPC3 (-443320), COL11A1 (-50954)
chr1|418	AMY1C (+81973)
chr1|419	AMY1C (+331973)
chr1|420	AMY1C (+581973)
chr1|421	AMY1C (+831973)
chr1|422	NONE
chr1|423	NONE
chr1|424	NONE
chr1|426	NONE
chr1|427	PRMT6 (-974300)
chr1|430	PRMT6 (-224300)
chr1|433	VAV3 (+382765), NTNG1 (+441559)
chr1|434	VAV3 (+132765), NTNG1 (+691559)
chr1|436	NBPF4 (-88312), NBPF6 (-43420)
chr1|457	PHTF1 (+177097), MAGI3 (+191420)
chr1|476	SPAG17 (-147155), TBX15 (+657178)
chr1|477	SPAG17 (-397155), TBX15 (+407178)
chr1|483	NOTCH2 (-12761), FCGR1B (+310936)
chr1|484	NOTCH2 (-262761), FCGR1B (+60936)
chr1|485	FCGR1B (-189064)
chr1|573	PPIAL4G (+642880)
chr1|574	PPIAL4G (+392880)
chr1|584	GPR89A (-47928), GPR89C (-8867)
chr1|611	LCE3A (-29422), LCE2D (-10871)
chr1|612	IVL (-6020), SMCP (+24208)
chr1|630	ETV3 (-266842), FCRL5 (+147309)
chr1|631	FCRL4 (-57131), FCRL3 (+45646)
chr1|632	KIRREL (-88399), CD5L (-63413)
chr1|633	CD1D (-24736), KIRREL (+161601)
chr1|634	OR10T2 (-5745), OR10K2 (+15655)
chr1|635	SPTA1 (+31487), OR10Z1 (+48772)
chr1|636	PYHIN1 (-26341), MNDA (+73894)
chr1|638	OR10J3 (-90552), OR10J1 (-34511)
chr1|639	CRP (+59378), APCS (+67386)
chr1|653	RGS5 (+47692), RGS4 (+86436)
chr1|655	PBX1 (-903871), NUF2 (+333257)
chr1|656	PBX1 (-653871), NUF2 (+583257)
chr1|657	PBX1 (-403871), NUF2 (+833257)
chr1|658	PBX1 (-153871)
chr1|660	PBX1 (+346129), LMX1A (+450951)
chr1|661	LMX1A (+200951), PBX1 (+596129)
chr1|674	TBX19 (+124723), XCL2 (+138234)
chr1|675	DPT (+73501), XCL1 (+79290)
chr1|676	ATP1B1 (-199934), DPT (-176499)
chr1|682	GORAB (-126269), METTL11B (+259859)
chr1|684	FMO3 (-185017), PRRX1 (+241954)
chr1|685	FMO2 (-29387), FMO6P (+17760)
chr1|692	TNFSF18 (+145102), FASLG (+246843)
chr1|693	TNFSF18 (-104898), TNFSF4 (+51451)
chr1|698	GPR52 (-42211), RABGAP1L (+246346)
chr1|699	CACYBP (-343868), GPR52 (+207789)
chr1|702	TNR (+337905), TNN (+338007)
chr1|703	TNR (+87905), TNN (+588007)
chr1|704	TNR (-162095), RFWD2 (+301628)
chr1|706	RFWD2 (-198372), PAPPA2 (-57306)
chr1|707	PAPPA2 (+192694), ASTN1 (+508825)
chr1|708	ASTN1 (+258825), PAPPA2 (+442694)
chr1|710	FAM5B (+234368), SEC16B (+564049)
chr1|711	SEC16B (+314049), FAM5B (+484368)
chr1|719	FAM163A (-87297), TDRD5 (+63976)
chr1|727	CACNA1E (+172120), ZNF648 (+405846)
chr1|744	PRG4 (-390410), HMCN1 (+171318)
chr1|745	PRG4 (-140410), HMCN1 (+421318)
chr1|748	PLA2G4A (+76916)
chr1|749	PLA2G4A (+326916)
chr1|750	PLA2G4A (+576916)
chr1|751	PLA2G4A (+826916)
chr1|752	NONE
chr1|753	NONE
chr1|754	NONE
chr1|755	NONE
chr1|756	NONE
chr1|757	NONE
chr1|758	NONE
chr1|759	FAM5C (+821758)
chr1|760	FAM5C (+571758)
chr1|761	FAM5C (+321758)
chr1|762	FAM5C (+71758)
chr1|763	FAM5C (-178242)
chr1|764	FAM5C (-428242)
chr1|765	FAM5C (-678242)
chr1|766	FAM5C (-928242), RGS18 (-752586)
chr1|767	RGS18 (-502586)
chr1|768	RGS18 (-252586)
chr1|769	RGS18 (-2586)
chr1|770	RGS1 (-169856), RGS21 (+88879)
chr1|774	B3GALT2 (-219217)
chr1|775	B3GALT2 (-469217)
chr1|776	B3GALT2 (-719217)
chr1|777	B3GALT2 (-969217)
chr1|778	NONE
chr1|779	NONE
chr1|780	NONE
chr1|781	NONE
chr1|782	NONE
chr1|783	KCNT2 (+952498)
chr1|784	KCNT2 (+702498)
chr1|785	KCNT2 (+452498)
chr1|786	KCNT2 (+202498)
chr1|787	CFHR3 (-118924), CFH (+3993)
chr1|788	CFHR2 (-37896), CFHR4 (+17857)
chr1|790	CRB1 (+137593), DENND1B (+369454)
chr1|794	ATP6V1G3 (+135074), NEK7 (+248908)
chr1|796	PTPRC (+266831)
chr1|798	NR5A2 (-621729), PTPRC (+766831)
chr1|799	NR5A2 (-371729)
chr1|835	PLXNA2 (-207336)
chr1|836	CAMK1G (-882061), PLXNA2 (-457336)
chr1|837	PLXNA2 (-707336), CAMK1G (-632061)
chr1|838	PLXNA2 (-957336), CAMK1G (-382061)
chr1|845	KCNH1 (+182314), HHAT (+622751)
chr1|856	PROX1 (-286285), RPS6KC1 (+650404)
chr1|862	KCTD3 (-365734), KCNK2 (+118422)
chr1|864	KCTD3 (+134266), USH2A (+721737)
chr1|865	KCTD3 (+384266), USH2A (+471737)
chr1|866	USH2A (+221737), KCTD3 (+634266)
chr1|867	USH2A (-28263), ESRRG (+271794)
chr1|868	USH2A (-278263), ESRRG (+21794)
chr1|869	ESRRG (-228206), GPATCH2 (+679423)
chr1|870	ESRRG (-478206), GPATCH2 (+429423)
chr1|871	ESRRG (-728206), GPATCH2 (+179423)
chr1|873	RRP15 (-333628), SPATA17 (+320335)
chr1|876	LYPLAL1 (-472185), TGFB2 (+355424)
chr1|877	LYPLAL1 (-222185), TGFB2 (+605424)
chr1|880	SLC30A10 (+226943), LYPLAL1 (+527815)
chr1|886	HLX (+323302), DUSP10 (+540517)
chr1|887	DUSP10 (+290517), HLX (+573302)
chr1|890	DUSP10 (-459483), HHIPL2 (+346444)
chr1|893	DISP1 (+23235), TLR5 (+185628)
chr1|902	LBR (+241518), DNAH14 (+257632)
chr1|930	SIPA1L2 (+322303), DISC1 (+612440)
chr1|949	MT1HL1 (+42717), MTR (+166391)
chr1|950	RYR2 (+169496), ZP4 (+679093)
chr1|951	RYR2 (+419496), ZP4 (+429093)
chr1|952	ZP4 (+179093), RYR2 (+669496)
chr1|953	ZP4 (-70907)
chr1|954	ZP4 (-320907)
chr1|955	ZP4 (-570907)
chr1|956	CHRM3 (-917372), ZP4 (-820907)
chr1|957	CHRM3 (-667372)
chr1|958	CHRM3 (-417372)
chr1|959	CHRM3 (-167372)
chr1|960	FMN2 (-380179), CHRM3 (+82628)
chr1|961	FMN2 (-130179), CHRM3 (+332628)
chr1|962	FMN2 (+119821), GREM2 (+400448)
chr1|963	GREM2 (+150448), FMN2 (+369821)
chr1|965	GREM2 (-349552), RGS7 (+395529)
chr1|966	GREM2 (-599552), RGS7 (+145529)
chr1|970	MAP1LC3C (-212626), PLD5 (+312819)
chr1|971	MAP1LC3C (-462626), PLD5 (+62819)
chr1|972	PLD5 (-187181), CEP170 (+543351)
chr1|975	SDCCAG8 (+205643), AKT3 (+388429)
chr1|992	OR13G1 (-38636), OR6F1 (+1104)
chr1|993	OR2AK2 (-3534)
chr1|994	OR2M4 (-27230), OR2M3 (+8669)
chr1|995	OR2T3 (-11626), OR2T2 (+8924)
chr1|996	ZNF672 (-257478), OR14I1 (-29372)
chr2|36	ID2 (+56026), KIDINS220 (+102754)
chr2|37	KIDINS220 (-147246), MBOAT2 (+18941)
chr2|52	TRIB2 (+17986)
chr2|53	TRIB2 (+267986)
chr2|60	NBAS (+826453)
chr2|71	FAM49A (-777899), VSNL1 (-97426)
chr2|72	SMC6 (+60069), VSNL1 (+152574)
chr2|73	KCNS3 (+65887), RDH14 (+616945)
chr2|75	RDH14 (+116945), KCNS3 (+565887)
chr2|79	OSR1 (-68324), TTC32 (+476746)
chr2|80	OSR1 (-318324), TTC32 (+226746)
chr2|87	TDRD15 (+278212)
chr2|93	NONE
chr2|94	ATAD2B (+774983)
chr2|100	CENPO (-141013), NCOA1 (+160200)
chr2|120	C2orf71 (-577874), ALK (+269431)
chr2|121	C2orf71 (-827874), ALK (+19431)
chr2|127	XDH (+12580), EHD3 (+167798)
chr2|137	RASGRP3 (+423706)
chr2|138	RASGRP3 (+673706)
chr2|139	RASGRP3 (+923706)
chr2|141	NONE
chr2|142	NONE
chr2|143	CRIM1 (-958068)
chr2|144	CRIM1 (-708068)
chr2|145	CRIM1 (-458068)
chr2|146	CRIM1 (-208068)
chr2|162	THUMPD2 (-368594), SLC8A1 (+364500)
chr2|163	THUMPD2 (-618594), SLC8A1 (+114500)
chr2|164	SLC8A1 (-135500)
chr2|165	SLC8A1 (-385500)
chr2|166	PKDCC (-900159), SLC8A1 (-635500)
chr2|167	SLC8A1 (-885500), PKDCC (-650159)
chr2|168	PKDCC (-400159)
chr2|197	LHCGR (-142169), FSHR (+256675)
chr2|198	LHCGR (-392169), FSHR (+6675)
chr2|199	FSHR (-243325)
chr2|200	FSHR (-493325)
chr2|201	FSHR (-743325)
chr2|202	FSHR (-993325), NRXN1 (+884536)
chr2|204	NRXN1 (+384536)
chr2|206	NRXN1 (-115464)
chr2|207	NRXN1 (-365464)
chr2|208	NRXN1 (-615464)
chr2|209	NRXN1 (-865464)
chr2|210	NONE
chr2|211	NONE
chr2|212	NONE
chr2|213	CHAC2 (-869928)
chr2|214	CHAC2 (-619928)
chr2|215	CHAC2 (-369928)
chr2|227	EFEMP1 (-473727)
chr2|228	EFEMP1 (-723727)
chr2|229	EFEMP1 (-973727)
chr2|230	VRK2 (-759785)
chr2|231	VRK2 (-509785)
chr2|235	FANCL (-156516)
chr2|237	FANCL (-656516)
chr2|238	FANCL (-906516)
chr2|239	NONE
chr2|240	BCL11A (+905632)
chr2|241	BCL11A (+655632)
chr2|242	BCL11A (+405632)
chr2|266	SPRED2 (-715690), MEIS1 (-287531)
chr2|269	ETAA1 (-499450), MEIS1 (+462469)
chr2|270	ETAA1 (-249450), MEIS1 (+712469)
chr2|272	ETAA1 (+250550), C1D (+415114)
chr2|306	GCFC2 (-436886)
chr2|307	GCFC2 (-686886)
chr2|308	GCFC2 (-936886), LRRTM4 (+874493)
chr2|309	LRRTM4 (+624493)
chr2|310	LRRTM4 (+374493)
chr2|311	LRRTM4 (+124493)
chr2|312	LRRTM4 (-125507)
chr2|313	LRRTM4 (-375507)
chr2|314	REG3G (-877826), LRRTM4 (-625507)
chr2|318	REG3A (+11785), REG1A (+27417)
chr2|319	CTNNA2 (+212644), LRRTM1 (+906873)
chr2|320	CTNNA2 (+462644), LRRTM1 (+656873)
chr2|321	LRRTM1 (+406873), CTNNA2 (+712644)
chr2|325	LRRTM1 (-593127)
chr2|326	LRRTM1 (-843127)
chr2|327	NONE
chr2|328	NONE
chr2|329	NONE
chr2|330	NONE
chr2|331	NONE
chr2|332	NONE
chr2|333	NONE
chr2|334	NONE
chr2|335	NONE
chr2|336	SUCLG1 (+811603)
chr2|338	SUCLG1 (+311603)
chr2|358	RPIA (+383839)
chr2|359	RPIA (+633839)
chr2|360	RPIA (+883839)
chr2|362	NONE
chr2|392	COX5B (-387502), FAHD2B (-114425)
chr2|393	FAHD2B (-364425), COX5B (-137502)
chr2|396	TMEM131 (-262647), CNGA3 (-87617)
chr2|399	MGAT4A (-277412), TSGA10 (+146379)
chr2|415	TMEM182 (+246529)
chr2|416	TMEM182 (+496529)
chr2|419	POU3F3 (-846968)
chr2|431	RGPD4 (-818392), ST6GAL2 (-121899)
chr2|441	SEPT10 (+246782), SH3RF3 (+379004)
chr2|460	ACTR3 (+227464)
chr2|461	DPP10 (-794178), ACTR3 (+477464)
chr2|462	DPP10 (-544178), ACTR3 (+727464)
chr2|466	DPP10 (+455822)
chr2|467	DPP10 (+705822)
chr2|468	DPP10 (+955822)
chr2|469	NONE
chr2|471	DDX18 (-947225)
chr2|472	DDX18 (-697225)
chr2|473	DDX18 (-447225)
chr2|474	DDX18 (-197225)
chr2|477	INSIG2 (+278951), EN1 (+480253)
chr2|492	TSN (+361892)
chr2|493	TSN (+611892)
chr2|494	TSN (+861892)
chr2|495	NONE
chr2|496	CNTNAP5 (-907863)
chr2|497	CNTNAP5 (-657863)
chr2|498	CNTNAP5 (-407863)
chr2|499	CNTNAP5 (-157863)
chr2|500	CNTNAP5 (+92137)
chr2|501	CNTNAP5 (+342137)
chr2|502	CNTNAP5 (+592137)
chr2|503	CNTNAP5 (+842137)
chr2|504	NONE
chr2|505	NONE
chr2|506	NONE
chr2|507	GYPC (-788508)
chr2|522	RAB6C (-362234)
chr2|526	GPR148 (-111642), CFC1 (-17878)
chr2|532	MZT2A (-625006), GPR39 (-299146)
chr2|534	LYPD1 (+52777), GPR39 (+200854)
chr2|535	LYPD1 (-197223), NCKAP5 (+701030)
chr2|536	LYPD1 (-447223), NCKAP5 (+451030)
chr2|539	NCKAP5 (-298970), MGAT5 (-252752)
chr2|545	ZRANB3 (+163805), RAB3GAP1 (+315133)
chr2|550	CXCR4 (-501188), THSD7B (-264748)
chr2|551	CXCR4 (-751188), THSD7B (-14748)
chr2|552	HNMT (-846879), THSD7B (+235252)
chr2|553	HNMT (-596879), THSD7B (+485252)
chr2|554	HNMT (-346879), THSD7B (+735252)
chr2|557	SPOPL (-134370), HNMT (+403121)
chr2|559	NXPH2 (-87083)
chr2|560	NXPH2 (-337083)
chr2|561	NXPH2 (-587083)
chr2|562	NXPH2 (-837083)
chr2|563	NONE
chr2|564	NONE
chr2|565	NONE
chr2|566	NONE
chr2|567	NONE
chr2|568	NONE
chr2|569	LRP1B (+764269)
chr2|570	LRP1B (+514269)
chr2|571	LRP1B (+264269)
chr2|572	LRP1B (+14269)
chr2|573	KYNU (-510066), LRP1B (-235731)
chr2|574	LRP1B (-485731), KYNU (-260066)
chr2|578	ARHGAP15 (+488118), GTDC1 (+677059)
chr2|583	ZEB2 (-346380)
chr2|584	ZEB2 (-596380)
chr2|588	NONE
chr2|589	NONE
chr2|591	ACVR2A (-977085)
chr2|592	ACVR2A (-727085)
chr2|597	EPC2 (-277552), MBD5 (+346421)
chr2|603	MMADHC (-180885), RND3 (+719180)
chr2|604	MMADHC (-430885), RND3 (+469180)
chr2|607	RND3 (-280820), RBM43 (+493392)
chr2|608	RND3 (-530820), RBM43 (+243392)
chr2|616	PRPF40A (-300506), RPRM (+460321)
chr2|617	PRPF40A (-550506), RPRM (+210321)
chr2|620	KCNJ3 (-679810), GALNT13 (+146575)
chr2|621	KCNJ3 (-429810), GALNT13 (+396575)
chr2|622	KCNJ3 (-179810), GALNT13 (+646575)
chr2|623	KCNJ3 (+70190)
chr2|624	KCNJ3 (+320190)
chr2|625	KCNJ3 (+570190)
chr2|626	NR4A2 (+814227), KCNJ3 (+820190)
chr2|627	NR4A2 (+564227)
chr2|628	NR4A2 (+314227)
chr2|631	GALNT5 (-489109), GPD2 (+333048)
chr2|647	TANK (-391807), RBMS1 (-274696)
chr2|651	SLC4A10 (+144065), DPP4 (+306051)
chr2|654	GCA (+174403), KCNH7 (+320127)
chr2|655	KCNH7 (+70127), GCA (+424403)
chr2|656	KCNH7 (-179873), FIGN (+717516)
chr2|657	KCNH7 (-429873), FIGN (+467516)
chr2|658	KCNH7 (-679873), FIGN (+217516)
chr2|660	FIGN (-282484), GRB14 (+603357)
chr2|661	FIGN (-532484), GRB14 (+353357)
chr2|662	FIGN (-782484), GRB14 (+103357)
chr2|664	SLC38A11 (-63005), SCN3A (+185552)
chr2|666	CSRNP3 (+48844), GALNT3 (+276191)
chr2|670	XIRP2 (-369996), SCN7A (-31523)
chr2|671	SCN7A (-281523), XIRP2 (-119996)
chr2|674	B3GALT1 (-300181), XIRP2 (+630004)
chr2|722	SESTD1 (-245484), ZNF385B (+351231)
chr2|726	CWC22 (-503221), UBE2E3 (-470332)
chr2|738	NUP35 (+385918)
chr2|739	ZNF804A (-838092), NUP35 (+635918)
chr2|740	ZNF804A (-588092), NUP35 (+885918)
chr2|743	FSIP2 (-978354), ZNF804A (+161908)
chr2|744	FSIP2 (-728354), ZNF804A (+411908)
chr2|745	FSIP2 (-478354), ZNF804A (+661908)
chr2|746	FSIP2 (-228354), ZNF804A (+911908)
chr2|748	ZC3H15 (-475882), FSIP2 (+271646)
chr2|756	TFPI (-455782), GULP1 (-282558)
chr2|759	COL3A1 (-214045), GULP1 (+467442)
chr2|760	COL3A1 (+35955), COL5A2 (+169604)
chr2|770	NABP1 (-168257), MYO1B (+264886)
chr2|773	TMEFF2 (-64566)
chr2|774	TMEFF2 (-314566)
chr2|775	TMEFF2 (-564566)
chr2|776	TMEFF2 (-814566)
chr2|777	NONE
chr2|778	NONE
chr2|779	NONE
chr2|780	NONE
chr2|781	NONE
chr2|782	NONE
chr2|783	SLC39A10 (-896470)
chr2|784	SLC39A10 (-646470)
chr2|785	SLC39A10 (-396470)
chr2|798	PLCL1 (+705575), SATB2 (+947818)
chr2|799	SATB2 (+697818), PLCL1 (+955575)
chr2|821	PARD3B (-285722), ICOS (+323530)
chr2|825	NRP2 (-422223), PARD3B (+714278)
chr2|826	NRP2 (-172223), PARD3B (+964278)
chr2|839	MAP2 (-819144), PTH2R (+353445)
chr2|840	MAP2 (-569144), PTH2R (+603445)
chr2|841	MAP2 (-319144), PTH2R (+853445)
chr2|843	UNC80 (-11716), MAP2 (+180856)
chr2|847	CPS1 (+282568)
chr2|848	CPS1 (+532568)
chr2|849	CPS1 (+782568)
chr2|850	NONE
chr2|851	ERBB4 (+778564)
chr2|852	ERBB4 (+528564)
chr2|853	ERBB4 (+278564)
chr2|854	ERBB4 (+28564)
chr2|855	ERBB4 (-221436), IKZF2 (+390057)
chr2|858	VWC2L (-900788), SPAG16 (+225888)
chr2|859	VWC2L (-650788), SPAG16 (+475888)
chr2|860	VWC2L (-400788), SPAG16 (+725888)
chr2|861	VWC2L (-150788), SPAG16 (+975888)
chr2|862	VWC2L (+99212), BARD1 (+299427)
chr2|864	BARD1 (-200573), ABCA12 (+128150)
chr2|866	FN1 (-74106), MREG (+503345)
chr2|867	FN1 (-324106), MREG (+253345)
chr2|873	TNP1 (-400214), TNS1 (+683850)
chr2|874	TNP1 (-650214), TNS1 (+433850)
chr2|884	SLC4A3 (+382709)
chr2|885	SLC4A3 (+632709)
chr2|886	SLC4A3 (+882709)
chr2|887	EPHA4 (+812009)
chr2|888	EPHA4 (+562009)
chr2|889	EPHA4 (+312009)
chr2|891	EPHA4 (-187991), PAX3 (+538699)
chr2|892	EPHA4 (-437991), PAX3 (+288699)
chr2|897	KCNE4 (+208139), SCG2 (+342220)
chr2|898	SCG2 (+92220), KCNE4 (+458139)
chr2|901	SERPINE2 (-221480), FAM124B (+141750)
chr2|905	DOCK10 (-217842), NYAP2 (-140363)
chr2|906	NYAP2 (+109637)
chr2|907	NYAP2 (+359637)
chr2|908	NYAP2 (+609637), IRS1 (+789474)
chr2|909	IRS1 (+539474), NYAP2 (+859637)
chr2|910	IRS1 (+289474)
chr2|912	COL4A4 (+153828), RHBDD1 (+174330)
chr2|916	DAW1 (+138678), SPHKAP (+171360)
chr2|917	SPHKAP (-78640)
chr2|918	SPHKAP (-328640), PID1 (+760980)
chr2|919	SPHKAP (-578640), PID1 (+510980)
chr2|920	SPHKAP (-828640), PID1 (+260980)
chr2|921	PID1 (+10980)
chr2|922	PID1 (-239020), DNER (+204273)
chr2|939	UGT1A4 (-2423)
chr2|941	SPP2 (+165658), ARL4C (+280696)
chr2|942	ARL4C (+30696), SPP2 (+415658)
chr2|943	SH3BP4 (-262328), ARL4C (-219304)
chr2|945	AGAP1 (-277750), SH3BP4 (+237672)
chr2|947	AGAP1 (+222250), GBX2 (+452011)
chr2|948	GBX2 (+202011), AGAP1 (+472250)
chr2|951	COPS8 (-368954), ACKR3 (+146717)
chr2|953	COPS8 (+131046), COL6A3 (+198017)
chr2|955	RBM44 (-82387), LRRFIP1 (+24019)
chr2|959	TWIST2 (-131672), ASB1 (+289536)
chr2|960	TWIST2 (+118328), HDAC4 (+447642)
chr2|961	HDAC4 (+197642), TWIST2 (+368328)
chr2|963	HDAC4 (-302358), NDUFA10 (+339818)
chr2|964	HDAC4 (-552358), NDUFA10 (+89818)
chr2|966	GPC1 (-87)
chr2|967	AQP12B (-2684)
chr2|972	CXXC11 (+63120)
chr3|18	SETMAR (+30013), SUMF1 (+133964)
chr3|19	BHLHE40 (-395800), ITPR1 (+89969)
chr3|38	SRGAP3 (-83938), THUMPD3 (-29735)
chr3|46	ATG7 (+60899), VGLL4 (+310397)
chr3|47	VGLL4 (+60397), ATG7 (+310899)
chr3|48	VGLL4 (-189603), TAMM41 (+13392)
chr3|49	TAMM41 (-236608), TIMP4 (+75850)
chr3|51	MKRN2 (+26488), RAF1 (+80724)
chr3|59	C3orf20 (-91605), SLC6A6 (+180925)
chr3|61	MRPS25 (-18159), ZFYVE20 (+15654)
