# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|114	EYA3 (+40206), XKR8 (+89028)
chr1|455	MAGI3 (-308580), LRIG2 (+9170)
chr1|456	MAGI3 (-58580), LRIG2 (+259170)
chr1|475	SPAG17 (+102845), WDR3 (+152610)
chr1|479	TBX15 (-92822), WARS2 (+58293)
chr1|579	PPIAL4B (-260755), NBPF9 (-186747)
chr1|582	HFE2 (-38277), NOTCH2NL (+150402)
chr1|583	RNF115 (+13965), CD160 (+81860)
chr1|597	PPIAL4C (-428002), NBPF16 (+385558)
chr1|601	PLEKHO1 (+2831), ANP32E (+83503)
chr1|602	TARS2 (-84892), RPRD2 (+37814)
chr1|603	ENSA (-22949), GOLPH3L (+44499)
chr1|604	ARNT (-25757), SETDB1 (-23814)
chr1|605	TNFAIP8L2 (-4104)
chr1|606	PSMB4 (+2991), POGZ (+56940)
chr1|607	SNX27 (+40443), CELF3 (+64289)
chr1|608	THEM5 (-48828), THEM4 (+7283)
chr1|609	TCHH (-38445), RPTN (+6703)
chr1|614	S100A7A (-13999), S100A8 (-11337)
chr1|615	S100A13 (-18433), SNAPIN (-6129)
chr1|616	GATAD2B (+20450), SLC27A3 (+127233)
chr1|617	NUP210L (+2591), RPS27 (+161766)
chr1|618	IL6R (-2668)
chr1|622	RUSC1 (+84283), ASH1L (+157322)
chr1|626	C1orf61 (+24183), RHBG (+35998)
chr1|627	BCAN (+13261), NES (+22188)
chr1|628	PEAR1 (+11489), ARHGEF11 (+140161)
chr1|629	ETV3 (-16842), FCRL5 (+397309)
chr1|640	CCDC19 (-5048), TAGLN2 (+20521)
chr1|641	CASQ1 (-35345), ATP1A4 (+3641)
chr1|642	VANGL2 (+4625), SLAMF6 (+118042)
chr1|644	ITLN1 (-20041), ITLN2 (+49588)
chr1|645	USP21 (-4253)
chr1|646	FCGR2A (-100219), SDHC (+90954)
chr1|647	FCGR3B (-24005), FCGR2B (-7950)
chr1|648	OLFML2B (+118643), ATF6 (+138917)
chr1|650	SH2D1B (+6915), NOS1AP (+335435)
chr1|651	HSD17B7 (-135535), DDR2 (+22746)
chr1|663	MGST3 (+24903), ALDH9A1 (+43099)
chr1|669	POU2F1 (-65065), DUSP27 (+61719)
chr1|671	MPZL1 (-66186), RCSD1 (+25671)
chr1|672	ADCY10 (+8339), MPZL1 (+183814)
chr1|673	TIPRL (-23170), GPR161 (-18465)
chr1|678	BLZF1 (+37793), CCDC181 (+54906)
chr1|687	MYOC (-3190)
chr1|691	FASLG (-3157)
chr1|695	SLC9C2 (-52768), ANKRD45 (+14000)
chr1|696	SERPINC1 (+11515), ZBTB37 (+37508)
chr1|697	RABGAP1L (-3654)
chr1|700	CACYBP (-93868), GPR52 (+457789)
chr1|701	TNN (+88007), TNR (+587905)
chr1|705	TNR (-412095), RFWD2 (+51628)
chr1|716	FAM20B (-120030), ANGPTL1 (-34814)
chr1|717	ABL2 (+73735), TOR3A (+74489)
chr1|718	SOAT1 (+112064), NPHS2 (+170067)
chr1|720	CEP350 (-48872), TOR1AIP1 (+23554)
chr1|721	LHX4 (-74420), QSOX1 (+1032)
chr1|722	ACBD6 (+97088), LHX4 (+175580)
chr1|723	XPR1 (+23861), STX6 (+367046)
chr1|724	STX6 (+117046), XPR1 (+273861)
chr1|725	CACNA1E (-327880), MR1 (+121862)
chr1|728	ZNF648 (+155846), CACNA1E (+422120)
chr1|729	ZNF648 (-94154), GLUL (+236340)
chr1|730	RGSL1 (-44280), TEDDM1 (-5250)
chr1|731	RGS16 (-51458), RGS8 (+17048)
chr1|732	LAMC1 (-117594), DHX9 (+66497)
chr1|734	NMNAT2 (+12736), LAMC2 (+219578)
chr1|735	APOBEC4 (-2553)
chr1|736	APOBEC4 (-252553), COLGALT2 (+131862)
chr1|737	TSEN15 (+104190), EDEM3 (+599046)
chr1|739	EDEM3 (+99046), TSEN15 (+604190)
chr1|740	EDEM3 (-150954), FAM129A (+68681)
chr1|741	TRMT1L (+1112), RNF2 (+110505)
chr1|742	HMCN1 (-328682), IVNS1ABP (-88540)
chr1|773	B3GALT2 (+30783), CDC73 (+33854)
chr1|789	ASPM (-9177), ZBTB41 (+44671)
chr1|791	DENND1B (+119454), CRB1 (+387593)
chr1|792	DENND1B (-130546), LHX9 (-11528)
chr1|793	NEK7 (-1092)
chr1|801	NR5A2 (+128271), ZNF281 (+254183)
chr1|803	KIF14 (-35139), DDX59 (+14096)
chr1|804	GPR25 (+32918), KIF21B (+117827)
chr1|805	TMEM9 (-1433)
chr1|806	LAD1 (-6265), TNNI1 (+15873)
chr1|807	IPO9 (-173268), NAV1 (+7624)
chr1|808	SHISA4 (+17165), LMOD1 (+40714)
chr1|809	ARL8A (-11132), PTPN7 (+5708)
chr1|810	PPP1R12B (+57174), SYT2 (+237580)
chr1|811	SYT2 (-12420), KDM5B (+153597)
chr1|812	RABIF (-16738), KLHL12 (+21389)
chr1|813	MYBPH (+19940), ADORA1 (+28808)
chr1|814	PRELP (-69955), FMOD (-54384)
chr1|815	LAX1 (-109303), ATP2B4 (+29312)
chr1|816	SOX13 (-167731), SNRPE (+44258)
chr1|817	ETNK2 (-3870)
chr1|818	PLEKHA6 (-45957), PPP1R15B (+5918)
chr1|819	NFASC (-172781), LRRN2 (-33668)
chr1|820	CNTN2 (-137324), NFASC (+77219)
chr1|821	RBBP5 (-33858), DSTYK (+55693)
chr1|822	NUAK2 (-84118), LEMD1 (+16181)
chr1|823	ELK4 (-23911), SLC45A3 (+24586)
chr1|824	PM20D1 (-55756), SLC26A9 (+37587)
chr1|827	IKBKE (-18790), SRGAP2 (+108801)
chr1|828	MAPKAPK2 (+16619), IL10 (+70838)
chr1|829	PIGR (-5190), FCAMR (+18944)
chr1|830	CD55 (-120045), C4BPA (+97394)
chr1|831	CR2 (-2574)
chr1|832	CD46 (-50401), CR1L (+56482)
chr1|833	CD34 (-40254), PLXNA2 (+292664)
chr1|834	CD34 (-290254), PLXNA2 (+42664)
chr1|840	TRAF3IP3 (-56842), HSD11B1 (+15491)
chr1|841	HHAT (-377249), SYT14 (+13463)
chr1|846	KCNH1 (-67686), RCOR3 (-57774)
chr1|847	RD3 (+41258), TRAF5 (+124822)
chr1|848	NEK2 (-26041), LPGAT1 (+129113)
chr1|849	LPGAT1 (-120887), INTS7 (+83883)
chr1|850	PPP2R5A (-83878), DTL (+166082)
chr1|851	ATF3 (-157011), NENF (+18772)
chr1|852	BATF3 (-1674)
chr1|853	RPS6KC1 (-99596), VASH2 (+1024)
chr1|858	SMYD2 (-79575), PROX1 (+213715)
chr1|860	KCNK2 (-381578), CENPF (+98463)
chr1|863	KCTD3 (-115734), KCNK2 (+368422)
chr1|881	SLC30A10 (-23057), EPRS (+94999)
chr1|882	RAB3GAP2 (+70795), IARS2 (+107546)
chr1|891	DUSP10 (-709483), HHIPL2 (+96444)
chr1|892	AIDA (+10865), MIA3 (+83573)
chr1|894	TLR5 (-64372), SUSD4 (+162400)
chr1|896	CAPN2 (-25033), CAPN8 (-21653)
chr1|897	DEGS1 (-245872), TP53BP2 (-91327)
chr1|898	DEGS1 (+4128), NVL (+143088)
chr1|899	WDR26 (-3000)
chr1|901	DNAH14 (+7632), LBR (+491518)
chr1|903	LBR (-8482), ENAH (+215843)
chr1|904	SRP9 (-90530), ENAH (-34157)
chr1|905	ENSG00000255835 (-13023), LEFTY2 (+4188)
chr1|906	ACBD3 (-570)
chr1|907	C1orf95 (-111500), PARP1 (-29227)
chr1|908	ITPKB (+51863), C1orf95 (+138500)
chr1|909	ADCK3 (+39764), CDC42BPA (+381174)
chr1|911	ZNF678 (-126243), CDC42BPA (-118826)
chr1|912	SNAP47 (-47696), ZNF678 (+123757)
chr1|913	WNT9A (+10598), PRSS38 (+121607)
chr1|914	OBSCN (-20830), IBA57 (+21485)
chr1|915	HIST3H3 (-11975), HIST3H2A (+20559)
chr1|916	TMEM78 (-510382), RHOU (+4177)
chr1|917	TMEM78 (-260382), RHOU (+254177)
chr1|918	TMEM78 (-10382), RHOU (+504177)
chr1|919	ACTA1 (-55160), NUP133 (+19087)
chr1|920	GALNT2 (-327955), URB2 (+113020)
chr1|921	GALNT2 (-77955), URB2 (+363020)
chr1|922	PGBD5 (+138390), GALNT2 (+172045)
chr1|924	AGT (-24958), CAPN9 (-8129)
chr1|925	TRIM67 (-173715), ARV1 (+10206)
chr1|926	GNPAT (-1955)
chr1|927	EGLN1 (-64211), ENSG00000270106 (-39398)
chr1|928	DISC1 (+112440), SIPA1L2 (+822303)
chr1|932	SIPA1L2 (-177697), MAP10 (-65642)
chr1|933	NTPCR (+38631), PCNXL2 (+306458)
chr1|935	KCNK1 (-124749), ENSG00000143674 (+161487)
chr1|936	SLC35F3 (-165678), KCNK1 (+125251)
chr1|937	COA6 (-384428), SLC35F3 (+84322)
chr1|939	TARBP1 (-10152), IRF2BP2 (+120270)
chr1|940	IRF2BP2 (-129730), TOMM20 (+417250)
chr1|941	IRF2BP2 (-379730), TOMM20 (+167250)
chr1|942	RBM34 (-50229), ARID4B (+116531)
chr1|943	B3GALNT2 (+42780), TBCE (+94326)
chr1|945	LYST (-94781), NID1 (+103461)
chr1|946	GPR137B (+69169), ERO1LB (+70284)
chr1|947	LGALS8 (-56572), EDARADD (+67423)
chr1|948	MTR (-83609), ACTN2 (+25193)
chr1|967	RGS7 (-104471), FH (+58060)
chr1|968	EXO1 (-136481), OPN3 (-71338)
chr1|969	MAP1LC3C (+37374), EXO1 (+113519)
chr1|974	PLD5 (-687181), CEP170 (+43351)
chr1|978	ZBTB18 (+160416), ADSS (+240435)
chr1|979	C1orf101 (+323)
chr1|980	COX20 (-123623), DESI2 (+58764)
chr1|981	HNRNPU (-97228), EFCAB2 (-8170)
chr1|982	KIF26B (+56714)
chr1|983	KIF26B (+306714)
chr1|984	KIF26B (+556714), SMYD3 (+795518)
chr1|985	SMYD3 (+545518), KIF26B (+806714)
chr1|987	SMYD3 (+45518)
chr1|988	SCCPDH (-12348), CNST (+145253)
chr1|989	AHCTF1 (-30275), ZNF695 (+46357)
chr1|990	ZNF124 (-39683), ZNF496 (+120044)
chr1|991	OR2B11 (-9693), OR2C3 (+72140)
chr1|997	OR14I1 (-279372), ZNF672 (-7478)
chr2|81	TTC32 (-23254), WDR35 (+64891)
chr2|82	LAPTM4A (-123212), SDC1 (+50193)
chr2|83	PUM2 (-97857), RHOB (-21834)
chr2|84	GDF7 (+8577), APOB (+391944)
chr2|85	APOB (+141944), GDF7 (+258577)
chr2|116	PPP1CB (-99718), PLB1 (+156063)
chr2|122	ALK (-230569), LBH (-79396)
chr2|126	GALNT14 (-13988), CAPN14 (+65410)
chr2|129	XDH (-487420), MEMO1 (+110625)
chr2|130	SLC30A6 (-15932), SPAST (+86225)
chr2|131	TTC27 (-228128), BIRC6 (+42905)
chr2|132	LTBP1 (-297038), TTC27 (+21872)
chr2|135	RASGRP3 (-76294), LTBP1 (+452962)
chr2|136	RASGRP3 (+173706)
chr2|148	FEZ2 (-49667), VIT (-48832)
chr2|149	STRN (+68614), VIT (+201168)
chr2|150	EIF2AK2 (+9189), GPATCH11 (+63407)
chr2|152	CDC42EP3 (+24333), QPCT (+303284)
chr2|154	CYP1B1 (-71678), ATL2 (+229403)
chr2|156	HNRNPLL (-44830), GALM (-18051)
chr2|157	ARHGEF33 (+7980), ENSG00000269210 (+62482)
chr2|158	SOS1 (-26809), CDKL4 (+81672)
chr2|159	CDKL4 (-168328), MAP4K3 (+39452)
chr2|170	EML4 (-21489), PKDCC (+99841)
chr2|171	COX7A2L (-28851), KCNG3 (+96236)
chr2|172	MTA3 (+79344), OXER1 (+116400)
chr2|173	HAAO (-105269), ZFP36L2 (+328747)
chr2|176	DYNC2LI1 (-126177), PLEKHH2 (+10589)
chr2|178	LRPPRC (-151857), PPM1B (-21015)
chr2|182	SIX2 (-138432), SRBD1 (+463419)
chr2|184	PRKCE (-3912)
chr2|186	EPAS1 (-149540), PRKCE (+496088)
chr2|188	SOCS5 (-51090), CRIPT (+30711)
chr2|189	MCFD2 (+17918), SOCS5 (+198910)
chr2|190	CALM2 (+28739), TTC7A (+206688)
chr2|191	MSH2 (-5107), EPCAM (+28714)
chr2|192	MSH6 (-135220), KCNK12 (-76923)
chr2|193	FBXO11 (+7931), MSH6 (+114780)
chr2|194	FBXO11 (-242069), FOXN2 (-166848)
chr2|195	PPP1R21 (-42935), FOXN2 (+83152)
chr2|196	GTF2A1L (+30024), LHCGR (+107831)
chr2|216	CHAC2 (-119928)
chr2|217	ENSG00000270898 (-37704), PSME4 (+72976)
chr2|218	ACYP2 (+32360), TSPYL6 (+108408)
chr2|219	TSPYL6 (-141592), SPTBN1 (-58421)
chr2|220	EML6 (-76678), SPTBN1 (+191579)
chr2|221	RTN4 (+152679), EML6 (+173322)
chr2|222	RTN4 (-97321), RPS27A (-84537)
chr2|223	MTIF2 (-128686), CCDC88A (+21748)
chr2|224	SMEK2 (-30278), PNPT1 (+46044)
chr2|244	PAPOLG (-108364), BCL11A (-94368)
chr2|245	PEX13 (-119856), REL (+16345)
chr2|246	C2orf74 (-14628), KIAA1841 (+81933)
chr2|248	XPO1 (-109583), FAM161A (+206187)
chr2|249	CCT4 (-9062), COMMD1 (-7781)
chr2|250	B3GNT2 (-48247), COMMD1 (+242219)
chr2|251	TMEM17 (+108475), B3GNT2 (+201753)
chr2|256	UGP2 (-193843), MDH1 (+58634)
chr2|257	UGP2 (+56157), VPS54 (+121205)
chr2|259	PELI1 (-253413), LGALSL (-56225)
chr2|260	SERTAD2 (+6046), AFTPH (+123536)
chr2|261	SERTAD2 (-243954), SLC1A4 (-91534)
chr2|262	ACTR2 (-79970), RAB1A (-17761)
chr2|263	SPRED2 (+34310), ACTR2 (+170030)
chr2|267	SPRED2 (-965690), MEIS1 (-37531)
chr2|274	C1D (-84886), WDR92 (+9691)
chr2|279	GFPT1 (-10619), NFU1 (+39759)
chr2|280	AAK1 (-4152)
chr2|281	MXD1 (-17202), SNRNP27 (+4309)
chr2|282	PCBP1 (+60416), TIA1 (+100772)
chr2|283	FAM136A (-95779), TGFA (+156146)
chr2|284	TGFA (-93854), ADD2 (+120308)
chr2|285	VAX2 (-2719)
chr2|286	MPHOSPH10 (+17557), PAIP2B (+79212)
chr2|287	DYSF (-68831), ZNF638 (+66107)
chr2|288	DYSF (+181169), CYP26B1 (+500166)
chr2|293	EMX1 (-19603), SPR (+10512)
chr2|294	NOTO (-54385), RAB11FIP5 (-34855)
chr2|295	ALMS1 (+12115), NAT8 (+244519)
chr2|296	NAT8 (-5481), TPRKB (+89512)
chr2|297	DGUOK (-28952), ACTG2 (+4866)
chr2|298	BOLA3 (+120)
chr2|299	DCTN1 (-17519), C2orf81 (+19843)
chr2|300	M1AP (+163)
chr2|301	POLE4 (-60618), HK2 (+63893)
chr2|302	TACR1 (+51825), POLE4 (+189382)
chr2|304	MRPL19 (+1092), GCFC2 (+63114)
chr2|339	SUCLG1 (+61603)
chr2|341	TRABD2A (-16632), TMSB10 (-7748)
chr2|342	TCF7L1 (+14468), TGOLN2 (+180146)
chr2|343	CAPG (+12675), ELMOD3 (+43075)
chr2|344	SFTPB (+20863), USP39 (+31692)
chr2|345	ST3GAL5 (-8864), POLR1A (+208277)
chr2|346	PTCD3 (+41696), IMMT (+47892)
chr2|347	REEP1 (-59795), KDM3A (-42923)
chr2|348	RNF103 (-24023), CHMP3 (+73244)
chr2|349	CD8B (-35963), RGPD1 (-19737)
chr2|350	PLGLB2 (-672605), PLGLB1 (-126026)
chr2|352	PLGLB1 (-626026), PLGLB2 (-172605)
chr2|354	SMYD1 (+7702), FABP1 (+52634)
chr2|355	TEX37 (-199168), THNSL2 (+154022)
chr2|356	TEX37 (+50832), EIF2AK3 (+52093)
chr2|383	MAL (-66428), TEKT4 (+87813)
chr2|384	PROM2 (-65200), ZNF2 (+43818)
chr2|385	TRIM43 (-132765), FAHD2A (+56527)
chr2|388	STARD7 (-445)
chr2|389	ARID5A (-77485), NCAPH (+123476)
chr2|390	KANSL3 (-70955), LMAN2L (+30800)
chr2|397	INPP4A (+63680), COA5 (+99954)
chr2|400	LYG2 (-3431)
chr2|401	REV1 (-18504), AFF3 (+597044)
chr2|405	PDCL3 (-54151), NMS (+38057)
chr2|407	RPL31 (+6256), TBC1D8 (+142714)
chr2|408	CNOT11 (+5737), RNF149 (+50157)
chr2|413	SLC9A2 (-111165), SLC9A4 (+35239)
chr2|423	MRPS9 (-29440), POU3F3 (+153032)
chr2|424	GPR45 (+16801), TGFBRAP1 (+71490)
chr2|425	NCK2 (-236353), FHL2 (-109320)
chr2|426	C2orf40 (-307111), NCK2 (+13647)
chr2|428	UXS1 (-64206), RGPD3 (+209831)
chr2|437	LIMS1 (-146492), GCC2 (+59984)
chr2|438	RANBP2 (+39064), EDAR (+230827)
chr2|440	SH3RF3 (+129004), SEPT10 (+496782)
chr2|442	SEPT10 (-3218)
chr2|444	MALL (-858)
chr2|448	BCL2L11 (-3505)
chr2|451	ANAPC1 (+17266), BCL2L11 (+746495)
chr2|452	FBLN7 (-20961), TMEM87B (+62201)
chr2|453	RGPD8 (+66221), ZC3H6 (+91830)
chr2|454	SLC20A1 (-28433), CHCHD5 (+32983)
chr2|455	IL37 (-45547), IL1B (-30521)
chr2|456	IL1RN (-473)
chr2|459	SLC35F5 (-110601), ACTR3 (-22536)
chr2|475	INSIG2 (-221049), DDX18 (+52775)
chr2|476	INSIG2 (+28951), EN1 (+730253)
chr2|480	C1QL2 (+41464), MARCO (+175259)
chr2|481	DBI (+172)
chr2|482	TMEM177 (-61742), ENSG00000163075 (+72954)
chr2|483	EPB41L5 (-145580), PTPN4 (+107794)
chr2|484	EPB41L5 (+104420), TMEM185B (+105983)
chr2|485	GLI2 (-424984), INHBB (+21282)
chr2|486	GLI2 (-174984), INHBB (+271282)
chr2|488	TFCP2L1 (+167782), GLI2 (+325016)
chr2|489	TFCP2L1 (-82218), CLASP1 (+282051)
chr2|490	TFCP2L1 (-332218), CLASP1 (+32051)
chr2|491	TSN (+111892)
chr2|510	GYPC (-38508)
chr2|512	BIN1 (-10070), CYP27C1 (+88342)
chr2|513	ERCC3 (-73249), MAP3K2 (+21040)
chr2|514	GPR17 (-28438), MYO7B (+81623)
chr2|515	POLR2D (-9270), SAP130 (+159868)
chr2|516	UGGT1 (+26116), HS6ST1 (+201150)
chr2|517	HS6ST1 (-48850)
chr2|524	POTEF (+3181), RAB6C (+137766)
chr2|525	CFC1B (-153769), PTPN18 (+11421)
chr2|527	ARHGEF4 (-49223), AMER3 (+111137)
chr2|528	TUBA3D (-358665), PLEKHB2 (+12581)
chr2|529	TUBA3D (-108665), PLEKHB2 (+262581)
chr2|530	GPR39 (-799146), MZT2A (-125006)
chr2|540	MGAT5 (-2752)
chr2|541	MGAT5 (+247248), TMEM163 (+351569)
chr2|542	TMEM163 (+101569), MGAT5 (+497248)
chr2|543	CCNT2 (-51394), ACMSD (+28884)
chr2|544	RAB3GAP1 (+65133), ZRANB3 (+413805)
chr2|546	UBXN4 (-124188), R3HDM1 (+85918)
chr2|547	LCT (-30251), MCM6 (+8995)
chr2|548	CXCR4 (-1188)
chr2|558	SPOPL (+115630), NXPH2 (+162917)
chr2|575	LRP1B (-735731), KYNU (-10066)
chr2|596	EPC2 (-527552), MBD5 (+96421)
chr2|598	EPC2 (-27552), MBD5 (+596421)
chr2|599	KIF5C (-7818), EPC2 (+222448)
chr2|600	LYPD6B (-19980), KIF5C (+242182)
chr2|602	MMADHC (+69115), LYPD6 (+187950)
chr2|609	RBM43 (-6608), NMI (+21570)
chr2|610	RIF1 (+108546), NEB (+216000)
chr2|611	NEB (-34000), ARL5A (+60001)
chr2|612	ARL5A (-189999), CACNB4 (+80592)
chr2|613	STAM2 (-92495), FMNL2 (-66750)
chr2|614	ARL6IP6 (-199427), FMNL2 (+183250)
chr2|615	PRPF40A (-50506), RPRM (+710321)
chr2|630	GALNT5 (-739109), GPD2 (+83048)
chr2|635	ACVR1C (-139484), ACVR1 (+106622)
chr2|638	DAPL1 (-276828), PKP4 (+61377)
chr2|640	TANC1 (+49818), WDSUB1 (+268102)
chr2|641	WDSUB1 (+18102), TANC1 (+299818)
chr2|642	WDSUB1 (-231898), BAZ2B (+98202)
chr2|643	CD302 (+29752), MARCH7 (+55991)
chr2|644	LY75-CD302 (-113780), PLA2R1 (+44120)
chr2|645	ITGB6 (-68189), RBMS1 (+225304)
chr2|646	TANK (-641807), RBMS1 (-24696)
chr2|653	FAP (-24956), IFIH1 (+50212)
chr2|668	TTC21B (-64648), SCN1A (+55130)
chr2|677	CERS6 (-187758), STK39 (-20350)
chr2|678	NOSTRIN (-279660), CERS6 (+62242)
chr2|679	NOSTRIN (-29660), CERS6 (+312242)
chr2|681	LRP2 (+94194), DHRS9 (+203702)
chr2|682	KLHL41 (+8789), FASTKD1 (+55382)
chr2|683	SSB (-30788), PHOSPHO2 (+74026)
chr2|685	SP5 (-446860), MYO3B (+90346)
chr2|687	GAD1 (-48071), SP5 (+53140)
chr2|688	GORASP2 (+89965), TLK1 (+142342)
chr2|689	TLK1 (-107658), METTL8 (+165595)
chr2|690	CYBRD1 (-3857)
chr2|691	DYNC1I2 (+81021), SLC25A12 (+125761)
chr2|692	DLX1 (-74953), METAP1D (+10511)
chr2|693	ITGA6 (-167516), DLX2 (-157373)
chr2|694	PDK1 (-45778), ITGA6 (+82484)
chr2|695	ENSG00000091436 (-315686), RAPGEF4 (+24432)
chr2|696	ENSG00000091436 (-65686), RAPGEF4 (+274432)
chr2|699	SP3 (+205429), CDCA7 (+405412)
chr2|700	SP3 (-44571), OLA1 (+238425)
chr2|701	SP9 (-74673), OLA1 (-11575)
chr2|702	GPR155 (-23193), WIPF1 (+124306)
chr2|703	WIPF1 (-125694), CHRNA1 (+4188)
